timestamp,open,high,low,close,volume
2025-01-17 15:10:00,224.7,224.7,224.61,224.6135,14931
2025-01-17 15:05:00,224.495,224.6501,224.47,224.6501,20937
2025-01-17 15:00:00,224.64,224.675,224.48,224.495,24745
2025-01-17 14:55:00,224.565,224.6799,224.47,224.64,783697
2025-01-17 14:50:00,224.8595,224.8595,224.46,224.56,51852
2025-01-17 14:45:00,224.78,224.9,224.7508,224.79,21845
2025-01-17 14:40:00,224.68,224.83,224.68,224.79,13663
2025-01-17 14:35:00,224.71,224.88,224.64,224.64,16764
2025-01-17 14:30:00,224.905,224.91,224.51,224.675,22389
2025-01-17 14:25:00,224.88,224.94,224.81,224.85,15844
2025-01-17 14:20:00,224.765,224.935,224.7201,224.885,16470
2025-01-17 14:15:00,224.99,225.02,224.78,224.795,15108
2025-01-17 14:10:00,224.85,225.04,224.755,224.9832,24144
2025-01-17 14:05:00,224.465,224.84,224.41,224.83,261301
2025-01-17 14:00:00,224.31,224.58,224.08,224.4,29474
2025-01-17 13:55:00,224.37,224.3965,224.09,224.2295,13476
2025-01-17 13:50:00,224.29,224.4399,224.13,224.37,15504
2025-01-17 13:45:00,224.24,224.4699,224.24,224.32,10919
2025-01-17 13:40:00,224.535,224.57,224.26,224.29,17438
2025-01-17 13:35:00,224.29,224.545,224.29,224.545,17789
2025-01-17 13:30:00,224.435,224.5,224.21,224.285,18375
2025-01-17 13:25:00,224.51,224.564,224.25,224.38,32996
2025-01-17 13:20:00,224.44,224.6064,224.35,224.525,13809
2025-01-17 13:15:00,224.38,224.438,224.31,224.39,14788
2025-01-17 13:10:00,224.63,224.63,224.39,224.395,10627
2025-01-17 13:05:00,224.69,224.7999,224.55,224.615,10999
2025-01-17 13:00:00,224.96,224.98,224.61,224.62,28355
2025-01-17 12:55:00,225.02,225.02,224.9,224.98,9701
2025-01-17 12:50:00,225.08,225.1502,224.95,224.9638,16417
2025-01-17 12:45:00,225.1,225.213,225.045,225.145,18800
2025-01-17 12:40:00,225.29,225.2932,225.05,225.095,10407
2025-01-17 12:35:00,225.025,225.3366,225.0,225.33,14669
2025-01-17 12:30:00,224.875,225.1499,224.875,225.06,20616
2025-01-17 12:25:00,224.865,224.95,224.85,224.9,14347
2025-01-17 12:20:00,224.924,224.96,224.82,224.86,14696
2025-01-17 12:15:00,224.75,224.98,224.69,224.8716,19898
2025-01-17 12:10:00,224.68,224.85,224.6509,224.74,14291
2025-01-17 12:05:00,224.96,224.965,224.5801,224.6,15454
2025-01-17 12:00:00,225.105,225.105,224.755,225.0172,27492
2025-01-17 11:55:00,225.15,225.23,224.98,225.14,16510
2025-01-17 11:50:00,225.525,225.53,225.16,225.18,12734
2025-01-17 11:45:00,225.822,225.88,225.375,225.53,30486
2025-01-17 11:40:00,225.61,225.795,225.61,225.795,22078
2025-01-17 11:35:00,225.31,225.61,225.31,225.61,22667
2025-01-17 11:30:00,225.15,225.34,225.08,225.34,24929
2025-01-17 11:25:00,225.23,225.315,225.06,225.145,16383
2025-01-17 11:20:00,225.145,225.23,224.8312,225.21,15629
2025-01-17 11:15:00,225.1425,225.35,225.14,225.145,15135
2025-01-17 11:10:00,225.025,225.155,224.8473,225.1024,9884
2025-01-17 11:05:00,225.01,225.1399,224.8,225.0,18050
2025-01-17 11:00:00,224.78,225.02,224.73,225.02,23922
2025-01-17 10:55:00,224.3,224.83,224.28,224.83,17775
